Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,59,179,0,16.91,24821,59,120,0,0,0
2,42,221,0,16.97,24779,101,118,2,0,0
3,14,235,0,17.07,24765,115,113,7,0,0
4,11,246,0,17.1,24754,126,110,8,2,0
5,10,256,0,17.1,24744,125,115,12,4,0
6,40,296,0,30.73,24703,125,153,12,6,1
7,40,336,0,30.75,24660,126,188,16,6,4
8,22,358,0,17.16,24635,130,202,20,6,7
9,11,369,0,17.2,24617,133,202,26,8,14
10,16,385,0,17.08,24596,142,205,28,10,19
11,15,400,0,17.22,24574,123,236,35,6,26
12,17,417,0,17.14,24542,120,254,38,4,42
13,33,450,0,30.85,24493,145,264,39,2,57
14,2,452,0,30.9,24477,138,269,40,4,72
15,10,462,0,17.25,24458,141,272,45,4,80
16,8,470,0,17.32,24436,136,280,49,4,95
17,31,501,0,17.28,24396,136,308,51,5,104
18,18,519,0,17.39,24364,130,329,56,4,117
19,15,534,0,17.36,24336,141,328,62,2,131
20,23,557,0,31.01,24301,157,325,68,5,144
21,7,564,0,31.12,24273,153,338,70,3,163
22,13,577,0,17.36,24245,151,351,69,5,179
23,22,599,0,17.35,24211,149,373,72,5,190
24,15,614,0,17.47,24180,147,381,80,6,206
25,18,632,0,17.39,24145,150,399,77,6,223
26,5,637,0,17.55,24117,156,395,81,5,246
27,18,655,0,31.09,24078,167,406,77,5,267
28,18,673,0,31.16,24039,165,425,75,8,288
29,11,684,0,17.48,24008,172,424,79,9,308
30,5,689,0,17.49,23981,166,438,76,8,331
31,18,707,0,17.46,23935,183,436,81,7,358
32,-3,704,0,17.46,23909,171,444,84,5,387
33,6,710,0,17.53,23879,155,470,81,4,411
34,18,728,0,31.23,23840,167,471,86,4,432
35,14,742,1,31.3,23801,180,461,94,5,458
36,-7,735,1,17.51,23776,167,466,93,9,488
37,19,754,1,17.44,23729,173,477,95,9,516
38,7,761,1,17.42,23694,175,479,98,8,545
39,-3,758,1,17.36,23661,175,477,100,5,581
40,15,773,1,17.49,23619,187,477,102,7,607
41,7,780,1,31.11,23577,196,472,104,7,643
42,17,797,1,31.16,23522,206,480,97,13,681
43,15,812,1,17.48,23477,209,490,98,13,712
44,2,814,1,17.5,23433,226,477,96,15,752
45,11,825,1,17.53,23395,219,492,99,14,780
46,15,840,1,17.48,23347,223,513,93,10,813
47,15,855,1,17.57,23297,220,532,92,11,847
48,28,883,1,31.3,23230,242,544,83,13,887
49,23,906,1,31.29,23170,265,538,89,11,926
50,-13,893,1,13.91,23147,234,563,86,9,960
51,0,893,1,11.49,23118,213,578,93,8,989
52,-1,892,1,11.5,23092,191,591,104,6,1015
53,-10,882,1,11.51,23065,160,601,114,7,1052
54,-11,871,1,11.55,23036,143,607,115,6,1092
55,13,884,1,31.55,22994,156,598,125,5,1121
56,23,907,1,31.48,22948,178,593,125,11,1144
57,-17,890,1,11.52,22931,170,576,132,11,1179
58,-20,870,1,11.46,22916,152,576,128,12,1215
59,-36,834,1,11.47,22901,130,564,124,15,1265
60,-24,810,1,11.47,22884,98,582,118,12,1305
61,-41,769,1,11.43,22869,84,563,110,11,1362
62,-9,760,1,30.94,22835,99,528,121,10,1406
63,-15,745,1,30.9,22804,111,510,112,12,1450
64,-32,713,1,11.28,22794,109,485,109,10,1492
65,-21,692,1,11.25,22781,103,462,114,10,1529
66,-24,668,1,11.25,22773,87,456,113,9,1561
67,-28,640,1,11.22,22762,69,449,111,10,1598
68,-27,613,1,11.2,22747,59,436,108,9,1640
69,-21,592,1,30.71,22724,70,419,95,8,1683
70,6,598,1,30.92,22682,100,400,85,13,1719
71,3,601,1,17.26,22649,123,386,83,9,1749
72,-13,588,1,17.32,22634,128,368,77,12,1780
