Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,63,183,0,16.71,24817,63,120,0,0,0
2,59,242,0,16.81,24758,122,119,1,0,0
3,21,263,0,16.85,24737,143,117,3,0,0
4,13,276,0,16.84,24724,156,109,11,0,0
5,12,288,0,16.84,24712,150,121,16,1,0
6,42,330,0,30.34,24670,135,176,17,2,0
7,51,381,0,30.39,24613,154,203,22,2,6
8,16,397,0,17.01,24590,148,216,30,3,13
9,21,418,0,17.09,24563,161,215,38,3,20
10,18,436,0,17.07,24540,160,225,46,5,24
11,11,447,0,17.24,24523,129,260,52,5,31
12,25,472,0,17.15,24486,125,292,50,5,42
13,27,499,0,30.9,24439,144,301,48,6,62
14,15,514,0,30.82,24411,149,307,53,5,75
15,-3,511,0,16.95,24392,150,306,49,6,97
16,6,517,0,17.04,24371,150,315,43,9,112
17,11,528,1,16.99,24346,129,348,43,8,125
18,26,554,1,17.22,24306,132,367,50,5,139
19,17,571,1,17.1,24275,136,378,53,3,154
20,11,582,1,30.64,24244,143,378,57,4,173
21,11,593,1,30.61,24212,155,378,58,2,194
22,15,608,1,17.31,24188,157,376,68,4,206
23,18,626,1,17.32,24152,150,397,75,3,222
24,16,642,1,17.18,24116,156,411,70,4,242
25,23,665,1,17.32,24076,161,425,75,3,259
26,20,685,1,17.17,24036,174,430,76,5,278
27,30,715,1,30.81,23988,197,436,74,7,297
28,21,736,1,30.82,23945,202,454,70,10,318
29,10,746,1,17.4,23907,202,466,72,5,347
30,6,752,1,17.39,23873,197,484,64,7,374
31,22,774,1,17.54,23832,199,494,71,9,394
32,13,787,1,17.32,23798,193,502,83,9,414
33,13,800,1,17.47,23762,181,521,87,10,438
34,33,833,1,31.29,23704,199,532,92,10,462
35,26,859,2,31.44,23653,218,535,93,13,486
36,4,863,2,17.52,23615,218,532,102,10,521
37,11,874,2,17.55,23571,223,529,110,11,554
38,14,888,2,17.38,23527,218,546,111,12,584
39,13,901,2,17.42,23483,215,563,108,14,615
40,12,913,2,17.46,23434,214,568,116,12,654
41,19,932,2,31.02,23370,242,566,109,14,697
42,24,956,2,31.17,23316,255,573,112,16,726
43,-11,945,2,17.67,23284,241,576,112,15,770
44,-12,933,2,17.42,23248,230,569,115,19,817
45,-3,930,2,17.62,23211,213,583,117,15,859
46,14,944,2,17.64,23161,206,607,116,15,893
47,1,945,2,17.64,23116,202,608,115,19,938
48,30,975,2,31.55,23050,231,613,106,22,976
49,30,1005,2,31.6,22990,259,606,120,20,1003
50,-35,970,2,14.04,22973,229,605,121,15,1055
51,-22,948,2,11.61,22952,207,611,117,10,1101
52,-7,941,2,11.64,22928,181,630,117,11,1131
53,-17,924,2,11.6,22898,148,650,114,9,1179
54,-20,904,2,11.61,22873,122,657,114,11,1221
55,28,932,2,31.52,22805,170,642,111,9,1261
56,30,962,2,31.58,22746,209,633,107,12,1291
57,-27,935,2,11.62,22733,196,624,105,10,1330
58,-16,919,2,11.6,22714,186,615,109,8,1366
59,-23,896,2,11.56,22698,162,623,102,9,1404
60,-36,860,2,11.57,22679,121,620,107,12,1459
61,-28,832,2,11.55,22660,96,609,113,10,1510
62,16,848,2,31.52,22613,122,592,120,14,1537
63,6,854,2,31.46,22571,148,567,121,18,1573
64,-37,817,2,11.52,22558,143,536,117,18,1626
65,-30,787,2,11.47,22543,136,521,110,20,1668
66,-24,763,2,11.44,22522,123,517,107,15,1714
