Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,65,185,0,19.39,24815,65,120,0,0,0
2,42,227,0,19.21,24773,107,120,0,0,0
3,18,245,0,19.46,24755,125,115,5,0,0
4,14,259,0,19.19,24741,138,109,11,1,0
5,10,269,0,19.48,24731,134,116,17,2,0
6,33,302,0,33.1,24697,116,163,21,2,1
7,43,345,0,32.51,24649,132,188,22,2,7
8,19,364,0,19.5,24622,136,198,27,3,14
9,12,376,0,19.38,24603,141,203,29,2,22
10,13,389,0,19.5,24588,139,214,33,2,24
11,15,404,0,19.54,24567,121,243,37,2,30
12,5,409,0,19.76,24545,108,266,33,0,48
13,19,428,0,33.22,24510,119,274,34,1,62
14,19,447,0,33.19,24477,125,282,37,2,77
15,9,456,0,19.6,24452,138,272,43,3,92
16,3,459,0,19.46,24434,137,268,50,4,107
17,0,459,0,19.45,24423,120,281,53,5,118
18,40,499,1,19.31,24378,131,305,58,5,122
19,7,506,1,19.36,24358,119,321,60,5,136
20,26,532,1,32.52,24318,133,330,63,6,149
21,25,557,1,32.59,24283,154,323,72,6,161
22,1,558,2,19.53,24263,155,319,78,6,177
23,0,558,2,19.81,24243,142,325,82,7,199
24,16,574,2,20.39,24216,137,343,85,9,208
25,4,578,2,19.57,24194,123,360,85,9,227
26,9,587,2,19.49,24173,112,372,91,9,241
27,9,596,2,33.24,24135,130,366,92,8,267
28,14,610,2,33.17,24106,132,376,92,10,282
29,5,615,2,19.65,24080,142,382,83,8,303
30,-2,613,2,20.02,24058,140,387,75,11,327
31,1,614,2,19.7,24030,135,398,70,11,354
32,-3,611,2,19.8,24001,129,399,73,10,386
33,3,614,2,19.9,23969,129,405,69,8,418
34,1,615,2,33.06,23936,142,400,65,8,447
35,5,620,2,33.46,23902,155,392,67,6,476
36,7,627,2,19.54,23878,152,398,67,8,495
37,8,635,2,19.64,23847,150,407,70,7,517
38,3,638,2,19.56,23808,157,407,68,6,552
39,5,643,2,19.56,23775,169,403,65,4,582
40,-8,635,2,19.55,23749,155,406,67,5,616
41,8,643,2,32.88,23713,159,410,70,4,642
42,13,656,2,32.7,23674,170,415,66,5,668
43,12,668,2,19.59,23638,172,419,70,6,693
44,11,679,2,19.66,23609,162,439,71,6,711
45,1,680,2,19.58,23569,177,430,67,5,750
46,-2,678,2,19.56,23540,172,435,62,9,780
47,20,698,2,19.67,23501,173,452,66,7,799
48,34,732,2,34.1,23446,192,465,66,8,821
49,31,763,2,33.02,23390,213,473,67,9,846
50,15,778,2,19.82,23349,216,481,71,10,871
51,19,797,2,19.73,23306,229,482,75,10,896
52,19,816,2,19.9,23261,234,492,77,11,923
