Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,64,184,0,17.96,24816,64,120,0,0,0
2,54,238,0,17.91,24762,118,120,0,0,0
3,23,261,0,18.01,24739,141,117,3,0,0
4,11,272,0,18.53,24728,152,114,6,0,0
5,13,285,0,18.44,24715,148,127,10,0,0
6,42,327,0,33.37,24673,145,167,14,1,0
7,35,362,0,33.24,24631,140,203,17,2,7
8,26,388,0,18.19,24603,144,221,21,2,9
9,21,409,0,17.94,24577,154,224,29,2,14
10,18,427,0,18.27,24555,149,243,31,3,19
11,20,447,0,18.3,24531,132,271,39,4,23
12,25,472,0,18.63,24499,131,291,46,4,29
13,20,492,0,32.9,24464,130,314,46,2,44
14,10,502,0,32.85,24436,135,319,45,2,63
15,4,506,0,18.12,24413,145,311,47,3,81
16,17,523,0,18.32,24386,145,316,57,4,92
17,18,541,0,18.14,24359,140,335,62,3,101
18,24,565,0,18.46,24318,142,348,72,2,118
19,15,580,0,18.18,24284,149,359,70,2,136
20,34,614,0,33.29,24241,172,363,77,2,145
21,21,635,0,33.53,24207,181,377,72,4,159
22,10,645,0,18.8,24177,178,388,75,2,180
23,-6,639,1,18.38,24155,165,390,81,3,205
24,11,650,1,18.62,24123,155,416,75,4,226
25,18,668,1,18.28,24082,153,434,78,3,249
26,8,676,1,18.75,24047,159,434,81,2,276
27,34,710,1,33.5,23998,174,441,92,3,291
28,13,723,1,33.35,23967,182,429,109,3,309
29,24,747,1,18.55,23927,186,445,111,4,326
30,14,761,1,18.79,23885,200,446,105,9,354
31,7,768,1,18.69,23853,187,465,106,10,378
32,16,784,1,18.88,23810,180,482,113,9,405
33,13,797,1,18.85,23774,190,481,111,12,431
34,15,812,1,33.32,23719,212,477,107,16,468
35,10,822,1,33.7,23684,201,496,107,17,494
36,7,829,1,19.0,23646,200,510,102,17,524
37,-8,821,1,19.45,23608,203,508,94,15,571
38,-5,816,2,18.76,23578,191,513,100,12,604
39,16,832,2,18.81,23537,188,531,104,9,629
40,15,847,2,18.58,23493,183,558,99,7,658
41,23,870,2,33.81,23434,214,553,91,10,696
42,18,888,2,33.33,23384,218,567,93,10,726
43,8,896,2,18.74,23345,229,559,99,7,759
44,-4,892,2,19.13,23311,221,569,93,9,795
45,7,899,2,18.83,23274,206,595,87,10,826
46,7,906,2,18.81,23229,201,599,94,11,864
47,17,923,2,19.03,23177,201,614,96,10,900
48,37,960,2,34.2,23102,248,607,96,9,936
49,20,980,2,34.12,23051,256,610,106,8,967
