Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,61,181,0,19.07,24819,61,120,0,0,0
2,58,239,0,19.13,24761,119,119,1,0,0
3,20,259,0,19.34,24741,139,114,6,0,0
4,8,267,0,19.17,24733,147,112,8,0,0
5,11,278,0,19.12,24722,146,122,9,1,0
6,33,311,0,30.38,24689,124,172,13,2,0
7,40,351,0,30.48,24645,124,202,21,4,4
8,20,371,0,19.38,24619,129,215,23,4,10
9,20,391,0,19.4,24596,138,222,24,7,13
10,11,402,1,19.26,24581,136,232,27,7,16
11,5,407,1,19.22,24569,118,253,30,5,24
12,19,426,1,19.34,24540,105,279,35,6,34
13,26,452,1,30.59,24501,117,289,42,4,46
14,15,467,1,30.59,24467,130,294,39,3,66
15,1,468,1,19.46,24441,139,288,38,2,91
16,-1,467,1,19.52,24429,138,280,46,3,103
17,15,482,1,19.45,24408,125,301,53,3,109
18,20,502,1,19.37,24376,127,311,61,2,122
19,14,516,2,19.39,24344,121,327,66,2,138
20,30,546,2,30.63,24301,138,332,70,5,152
21,15,561,2,30.71,24271,155,337,65,4,166
22,12,573,2,19.37,24251,152,344,68,8,175
23,6,579,2,19.46,24224,153,350,67,7,197
24,12,591,2,19.46,24194,142,370,70,8,214
25,24,615,2,19.61,24153,148,396,64,7,230
26,6,621,2,19.56,24116,157,396,61,7,261
27,23,644,2,30.78,24076,172,403,63,6,278
28,20,664,2,30.8,24039,183,401,74,6,295
29,4,668,3,19.58,24013,177,417,68,6,316
30,29,697,3,19.55,23971,182,439,68,7,330
31,10,707,3,19.7,23935,177,456,66,8,355
32,18,725,3,19.67,23889,183,472,64,5,384
33,17,742,3,19.76,23845,193,471,74,4,410
34,40,782,3,31.3,23783,227,469,82,4,432
35,15,797,3,31.37,23746,222,488,82,3,456
36,13,810,3,19.79,23711,218,503,84,3,478
37,25,835,3,19.79,23656,235,512,84,4,506
38,17,852,3,19.85,23611,225,540,81,5,535
39,32,884,3,19.66,23551,225,560,89,9,563
40,23,907,3,19.88,23496,241,563,94,7,596
41,30,937,3,31.49,23441,265,558,102,11,620
42,21,958,3,31.52,23378,277,577,88,11,666
43,19,977,3,19.94,23320,286,594,87,9,701
44,22,999,3,19.99,23270,276,617,93,11,730
45,22,1021,3,19.95,23209,279,635,94,13,767
46,38,1059,3,19.88,23135,294,651,100,14,803
47,29,1088,3,19.91,23078,296,672,107,12,832
48,40,1128,3,31.4,23006,315,689,115,9,863
49,22,1150,4,31.48,22943,323,708,110,8,904
50,50,1200,4,20.07,22863,345,728,117,9,934
51,23,1223,4,20.1,22794,335,758,121,8,980
52,55,1278,4,20.19,22697,367,771,128,11,1022
53,34,1312,4,20.19,22625,375,786,133,13,1064
54,22,1334,4,20.17,22551,381,812,128,12,1112
55,36,1370,4,31.66,22468,387,840,132,10,1159
56,50,1420,4,31.75,22381,402,874,133,11,1195
57,35,1455,4,20.37,22307,388,919,135,12,1235
58,22,1477,4,20.45,22240,387,931,142,13,1283
59,14,1491,4,20.5,22163,371,959,145,12,1346
60,27,1518,4,20.58,22068,395,960,150,11,1412
61,61,1579,4,20.63,21970,408,1005,153,13,1447
62,42,1621,4,32.35,21872,426,1014,170,10,1504
63,63,1684,4,32.43,21766,461,1027,182,10,1550
64,41,1725,4,20.65,21671,473,1056,180,14,1602
65,25,1750,4,20.66,21590,470,1068,192,19,1657
66,33,1783,4,20.73,21492,464,1092,202,20,1726
67,9,1792,4,20.74,21406,453,1116,203,19,1799
68,38,1830,4,20.81,21319,438,1161,205,24,1849
69,87,1917,4,32.58,21179,486,1201,208,21,1901
70,89,2006,4,32.69,21039,544,1231,208,21,1953
71,24,2030,4,21.0,20955,542,1236,227,22,2014
72,13,2043,4,21.12,20875,523,1272,217,29,2080
73,7,2050,4,21.18,20788,502,1295,220,32,2159
74,36,2086,4,21.2,20665,494,1337,220,30,2250
75,33,2119,4,21.15,20555,478,1386,227,27,2323
76,50,2169,4,32.94,20424,525,1396,231,16,2404
77,39,2208,4,33.03,20300,567,1383,236,20,2490
78,24,2232,4,21.45,20203,573,1395,240,23,2562
79,26,2258,4,21.36,20092,563,1441,233,18,2649
80,20,2278,4,21.32,19970,575,1432,248,21,2750
81,27,2305,4,21.35,19859,564,1451,265,22,2835
82,37,2342,4,21.54,19739,556,1487,275,23,2916
83,73,2415,4,33.68,19586,614,1474,296,29,2997
84,48,2463,4,33.63,19455,626,1501,302,30,3082
85,31,2494,4,21.75,19333,640,1521,298,33,3171
86,20,2514,4,21.65,19214,638,1562,285,27,3270
87,16,2530,4,21.72,19102,626,1581,288,30,3369
88,27,2557,4,21.82,18968,596,1626,301,32,3473
89,34,2591,4,21.79,18850,575,1667,315,30,3559
90,36,2627,4,33.69,18696,630,1662,306,28,3674
91,67,2694,4,33.68,18540,661,1698,305,26,3766
92,27,2721,4,21.86,18408,678,1708,300,31,3871
93,-9,2712,5,21.94,18309,663,1703,310,32,3978
94,15,2727,5,22.07,18188,647,1722,327,28,4083
95,39,2766,5,22.16,18043,637,1759,333,35,4188
96,34,2800,5,22.07,17919,623,1799,334,35,4285
97,50,2850,5,34.02,17737,658,1831,324,35,4410
98,44,2894,5,34.09,17579,717,1802,343,30,4524
99,31,2925,5,22.34,17445,724,1833,336,30,4627
100,19,2944,5,22.31,17301,730,1844,339,30,4751
101,0,2944,5,22.3,17182,724,1853,326,35,4875
102,-5,2939,5,22.24,17055,669,1892,338,36,5005
103,17,2956,5,22.53,16916,658,1911,349,36,5125
104,52,3008,5,34.69,16747,705,1908,353,39,5243
105,51,3059,5,34.78,16583,713,1927,382,36,5354
106,-2,3057,5,22.44,16468,713,1937,369,35,5473
107,29,3086,5,22.5,16330,713,1964,368,37,5583
108,-20,3066,6,22.5,16202,678,1976,375,33,5730
109,0,3066,6,22.69,16071,647,2004,380,30,5862
110,-7,3059,6,22.75,15935,631,2021,366,36,6005
111,40,3099,7,34.84,15754,704,1999,359,31,6146
112,0,3099,7,34.9,15616,712,1992,362,28,6283
113,-26,3073,7,22.63,15517,688,1984,365,32,6407
114,-13,3060,7,22.63,15398,687,1971,368,31,6538
115,-14,3046,8,22.64,15263,640,2017,362,23,6687
116,-34,3012,8,22.6,15138,611,2006,364,26,6847
117,-26,2986,8,22.64,15024,592,2002,365,24,6985
118,43,3029,8,34.51,14863,651,1987,362,24,7105
119,18,3047,8,34.54,14725,652,2006,364,22,7223
120,-41,3006,8,22.59,14627,632,1959,382,23,7369
121,-24,2982,8,22.59,14501,638,1932,371,34,7516
