Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,42,162,0,16.86,24838,42,120,0,0,0
2,53,215,0,17.13,24785,95,120,0,0,0
3,8,223,0,17.11,24777,103,118,2,0,0
4,9,232,0,16.95,24768,112,116,4,0,0
5,15,247,0,16.98,24753,115,124,8,0,0
6,28,275,0,30.51,24724,116,148,10,1,1
7,43,318,0,30.41,24678,113,189,14,1,5
8,23,341,0,16.95,24650,130,193,16,2,9
9,14,355,0,17.09,24633,134,198,21,2,12
10,12,367,0,17.05,24618,127,214,24,2,15
11,14,381,0,17.21,24598,118,230,30,3,21
12,8,389,1,17.3,24581,95,256,36,2,29
13,24,413,1,31.12,24545,103,275,34,1,41
14,20,433,1,31.14,24515,122,269,39,2,52
15,22,455,1,17.25,24485,133,270,50,2,59
16,7,462,1,17.25,24461,134,276,50,2,76
17,27,489,1,17.19,24426,148,283,54,4,84
18,15,504,1,17.12,24404,134,310,56,4,91
19,7,511,1,17.1,24378,133,313,64,1,110
20,18,529,1,30.49,24343,142,321,62,4,127
21,21,550,1,30.77,24313,148,324,75,3,136
22,30,580,1,17.28,24275,153,346,74,7,144
23,14,594,1,17.42,24240,161,351,76,6,165
24,9,603,1,17.44,24210,167,354,77,5,186
25,8,611,1,17.32,24181,162,361,83,5,207
26,12,623,1,17.33,24151,157,384,77,5,225
27,20,643,1,30.86,24101,171,391,73,7,256
28,21,664,1,31.02,24061,175,400,79,9,275
29,8,672,1,17.43,24025,182,408,71,11,302
30,-2,670,1,17.36,23996,181,408,68,10,336
31,14,684,1,17.26,23957,183,417,77,7,358
32,6,690,1,17.44,23931,164,437,79,9,379
33,24,714,1,17.5,23884,168,449,86,10,402
34,38,752,2,30.73,23820,205,443,94,10,426
35,14,766,2,30.72,23777,216,447,93,8,457
36,-4,762,2,17.56,23754,203,457,94,7,483
37,18,780,2,17.58,23715,207,465,100,7,504
38,18,798,2,17.63,23676,202,487,101,7,525
39,-1,797,2,17.53,23635,184,512,93,6,568
40,-3,794,2,17.55,23596,182,512,94,4,610
41,28,822,2,31.28,23546,205,521,92,3,631
42,28,850,2,31.11,23492,225,529,94,1,657
43,14,864,2,17.53,23448,217,541,102,3,687
44,15,879,2,17.49,23402,231,543,98,5,719
45,0,879,2,17.58,23364,228,544,99,7,756
46,9,888,2,17.8,23321,213,560,107,7,790
47,9,897,2,17.78,23284,205,576,107,9,817
48,40,937,2,31.26,23207,243,570,113,10,855
49,27,964,2,31.35,23147,252,585,113,13,888
50,17,981,3,17.72,23099,266,591,110,14,917
51,8,989,3,17.9,23056,264,593,119,11,954
52,7,996,3,18.01,23021,253,613,119,9,982
53,1,997,3,17.84,22967,246,630,107,13,1034
54,11,1008,3,17.78,22921,233,646,114,13,1070
55,34,1042,3,31.51,22845,257,661,109,13,1112
56,29,1071,3,31.51,22787,278,666,114,13,1139
57,1,1072,3,18.1,22746,271,667,119,14,1180
58,8,1080,3,17.95,22698,267,682,120,10,1220
59,1,1081,3,17.82,22651,258,689,121,12,1266
60,5,1086,3,18.02,22602,240,706,126,13,1310
61,8,1094,3,17.81,22542,246,709,128,11,1361
62,39,1133,3,31.52,22477,262,719,140,11,1388
63,22,1155,3,31.47,22406,288,702,151,12,1438
64,-3,1152,3,18.01,22359,286,704,149,13,1486
65,7,1159,3,17.96,22312,279,720,147,13,1526
66,17,1176,3,18.2,22258,274,727,160,12,1566
67,-8,1168,3,17.99,22204,260,746,151,10,1626
68,6,1174,3,17.85,22140,264,740,156,11,1686
69,30,1204,3,31.7,22069,286,750,154,13,1725
70,15,1219,3,31.7,22004,305,748,149,15,1776
71,-9,1210,3,18.01,21956,301,756,139,11,1834
72,16,1226,3,18.12,21898,299,769,144,14,1873
73,21,1247,3,18.08,21832,301,780,149,16,1919
74,25,1272,3,18.18,21761,304,801,150,17,1964
75,4,1276,3,18.29,21695,321,801,136,16,2028
76,28,1304,3,31.89,21609,342,806,142,12,2086
77,22,1326,4,31.86,21546,352,816,145,11,2126
78,-1,1325,4,18.26,21502,333,827,154,11,2169
79,9,1334,4,18.21,21439,324,845,151,11,2226
