Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,41,161,0,16.86,24839,41,120,0,0,0
2,60,221,0,16.92,24779,101,119,1,0,0
3,15,236,0,17.05,24764,116,115,5,0,0
4,17,253,0,16.95,24747,132,114,7,0,0
5,9,262,0,17.01,24738,132,119,11,0,0
6,30,292,0,30.66,24708,122,156,13,0,1
7,30,322,0,30.72,24674,113,195,14,0,4
8,32,354,0,17.1,24636,132,204,18,0,10
9,21,375,0,17.07,24611,139,208,28,0,14
10,9,384,0,17.1,24594,135,217,31,1,22
11,16,400,0,17.05,24572,128,236,35,1,28
12,15,415,0,17.12,24548,119,256,38,2,37
13,18,433,0,30.83,24517,123,266,41,3,50
14,10,443,0,30.85,24489,127,267,43,4,70
15,4,447,0,17.11,24466,127,272,42,6,87
16,19,466,0,17.15,24435,131,282,44,9,99
17,19,485,0,17.2,24409,136,299,42,8,106
18,14,499,0,17.25,24379,130,316,46,6,123
19,7,506,0,17.25,24358,131,317,53,5,136
20,24,530,0,30.98,24319,141,326,58,5,151
21,30,560,0,31.01,24279,150,346,59,5,161
22,16,576,0,17.26,24251,155,349,65,7,173
23,4,580,0,17.32,24227,155,356,62,7,193
24,14,594,0,17.32,24201,146,374,65,9,205
25,26,620,0,17.41,24162,150,392,68,10,218
26,17,637,0,17.29,24130,151,400,77,8,234
27,27,664,0,31.14,24084,169,410,77,7,253
28,18,682,0,31.16,24040,185,417,74,6,278
29,4,686,0,17.37,24015,184,421,74,6,300
30,9,695,0,17.4,23977,185,433,69,8,328
31,17,712,0,17.4,23937,189,434,77,11,352
32,10,722,0,17.39,23905,177,453,80,11,374
33,21,743,0,17.45,23860,180,469,82,12,397
34,29,772,0,31.25,23797,212,467,80,13,431
35,9,781,0,31.28,23758,223,463,83,12,461
36,8,789,0,17.41,23718,216,477,80,14,495
37,21,810,0,17.56,23669,236,480,80,13,522
38,11,821,0,17.49,23629,218,506,83,12,552
39,30,851,0,17.52,23567,229,521,85,13,585
40,7,858,0,17.61,23520,231,532,86,9,622
41,43,901,0,31.38,23449,258,548,86,9,650
42,27,928,0,31.45,23397,263,567,91,7,675
43,9,937,0,17.61,23359,263,568,98,7,705
44,19,956,0,17.63,23306,259,586,101,9,739
45,30,986,0,17.65,23246,266,610,101,9,768
46,24,1010,0,17.67,23192,253,629,118,10,798
47,26,1036,0,17.7,23122,271,630,123,9,845
48,40,1076,0,31.54,23047,310,628,128,9,878
49,20,1096,0,31.58,22983,323,638,125,10,921
50,-6,1090,0,17.72,22945,300,663,116,11,965
51,12,1102,0,17.74,22895,296,678,117,10,1004
52,19,1121,0,17.78,22836,281,705,122,12,1044
53,34,1155,0,17.87,22765,276,735,132,12,1080
54,15,1170,1,17.89,22708,276,751,133,10,1121
55,40,1210,1,31.78,22618,322,750,128,7,1174
56,29,1239,1,31.87,22546,341,746,142,7,1217
57,18,1257,1,18.01,22489,342,767,134,11,1256
58,11,1268,1,17.99,22437,331,778,147,11,1295
59,16,1284,2,17.92,22371,315,807,147,13,1345
60,22,1306,2,17.94,22301,317,826,146,16,1392
61,15,1321,2,17.98,22240,307,850,144,18,1439
62,58,1379,2,31.79,22133,354,872,138,15,1486
63,19,1398,2,31.88,22072,366,882,136,12,1530
64,29,1427,2,18.07,21993,376,896,146,8,1579
65,16,1443,2,18.09,21924,372,904,154,12,1632
66,-2,1441,3,18.08,21860,373,899,159,9,1697
67,16,1457,3,18.14,21802,336,938,173,10,1738
68,40,1497,3,18.14,21721,346,965,176,9,1780
69,70,1567,3,32.17,21605,382,973,199,11,1827
70,39,1606,3,32.22,21522,394,992,207,13,1869
71,22,1628,3,18.31,21438,416,991,206,14,1932
72,-8,1620,3,18.27,21379,410,992,200,15,2001
73,2,1622,3,18.28,21303,397,1029,180,16,2072
74,1,1623,3,18.26,21225,370,1039,196,16,2151
75,34,1657,3,18.38,21133,378,1079,184,14,2209
76,35,1692,4,32.42,21022,410,1096,168,14,2286
77,45,1737,4,32.42,20913,461,1079,181,14,2348
78,16,1753,4,18.5,20836,458,1096,184,13,2409
79,15,1768,4,18.46,20756,458,1101,199,9,2473
80,19,1787,4,18.5,20677,448,1118,208,11,2534
81,12,1799,4,18.52,20589,415,1150,221,13,2608
82,18,1817,4,18.55,20503,413,1162,223,17,2678
83,29,1846,5,32.61,20398,434,1163,231,14,2755
84,57,1903,5,32.64,20274,480,1180,226,16,2819
85,-9,1894,5,18.6,20206,472,1178,226,17,2896
86,6,1900,5,18.66,20122,457,1196,224,19,2977
87,-4,1896,5,18.66,20048,449,1210,213,22,3053
88,-3,1893,5,18.77,19973,394,1255,221,20,3132
89,14,1907,5,18.79,19887,394,1272,213,24,3205
90,63,1970,6,32.9,19757,445,1276,226,21,3269
91,48,2018,6,32.97,19636,484,1266,241,23,3344
92,-15,2003,6,18.83,19549,506,1227,241,24,3447
93,-3,2000,6,18.79,19473,498,1225,245,26,3527
94,-5,1995,6,18.86,19394,475,1248,238,29,3610
95,10,2005,6,18.93,19297,443,1283,247,31,3693
96,13,2018,6,18.94,19209,425,1313,248,29,3770
97,6,2024,6,33.07,19107,439,1304,250,29,3865
98,21,2045,6,33.0,18999,471,1290,252,29,3953
99,-22,2023,6,18.95,18930,463,1262,265,30,4044
100,26,2049,6,18.93,18828,464,1291,261,30,4120
101,-13,2036,7,18.9,18745,435,1313,255,28,4217
102,5,2041,7,18.92,18651,446,1309,257,27,4303
103,-7,2034,7,18.91,18560,435,1324,239,33,4402
104,9,2043,7,32.96,18454,466,1321,222,32,4498
105,45,2088,7,33.01,18333,497,1327,227,33,4576
106,-8,2080,7,18.95,18250,494,1324,229,29,4667
107,-17,2063,7,18.9,18175,480,1321,237,24,4756
108,-25,2038,7,18.96,18095,458,1318,234,25,4863
109,-25,2013,7,18.94,18009,434,1299,249,23,4979
110,9,2022,7,18.9,17913,417,1331,246,25,5061
111,37,2059,7,32.98,17804,448,1329,254,25,5133
112,9,2068,8,33.02,17706,466,1323,253,23,5221
113,5,2073,8,18.96,17619,464,1322,261,23,5303
114,3,2076,8,18.95,17530,482,1310,249,30,5391
115,4,2080,8,18.96,17437,466,1335,247,28,5479
116,-2,2078,9,19.02,17333,458,1346,249,23,5582
117,3,2081,9,19.0,17236,464,1327,262,25,5677
118,33,2114,9,32.99,17112,494,1337,258,22,5768
119,35,2149,9,33.06,16994,530,1329,270,20,5848
120,-29,2120,9,19.05,16926,515,1323,257,22,5948
121,-12,2108,9,19.03,16838,506,1313,265,21,6048
122,8,2116,9,19.03,16739,485,1332,266,28,6141
123,5,2121,9,19.04,16642,467,1350,269,33,6230
124,-7,2114,9,19.09,16551,442,1389,248,33,6328
125,59,2173,9,33.15,16410,513,1365,257,35,6411
126,30,2203,9,33.19,16294,539,1377,249,35,6497
127,0,2203,9,19.15,16211,525,1399,247,28,6581
128,-13,2190,9,19.16,16124,510,1399,251,27,6680
129,-14,2176,9,19.15,16036,493,1407,253,21,6781
130,-44,2132,9,19.16,15967,430,1434,245,20,6895
131,15,2147,9,19.25,15866,426,1442,259,18,6980
132,39,2186,9,33.32,15733,474,1426,265,20,7073
133,18,2204,9,33.34,15624,497,1411,272,22,7165
134,1,2205,9,19.19,15542,490,1416,273,21,7249
135,-6,2199,9,19.2,15465,485,1423,264,24,7330
136,-17,2182,9,19.18,15386,475,1417,265,21,7427
137,-7,2175,9,19.16,15295,426,1431,291,24,7524
138,-6,2169,9,19.24,15214,420,1425,294,27,7611
139,39,2208,9,33.29,15081,463,1423,296,24,7704
140,21,2229,9,33.32,14975,485,1432,286,26,7787
141,-19,2210,9,19.33,14895,496,1421,267,25,7887
142,-21,2189,9,19.13,14815,483,1400,276,28,7989
143,-32,2157,9,19.21,14739,458,1390,274,32,8098
144,-38,2119,9,19.17,14668,397,1422,263,34,8207
145,1,2120,9,19.15,14569,394,1438,262,24,8304
146,-5,2115,9,33.18,14461,439,1391,259,21,8420
147,10,2125,9,33.2,14354,465,1397,247,16,8512
148,-26,2099,9,19.15,14295,434,1391,253,17,8601
149,-16,2083,9,19.18,14218,434,1382,243,22,8692
150,-52,2031,9,19.1,14167,398,1368,244,19,8795
151,-35,1996,10,19.06,14092,361,1354,261,17,8905
152,-28,1968,10,19.07,14019,341,1341,262,22,9005
153,-1,1967,11,33.11,13928,356,1326,258,23,9098
154,-14,1953,11,33.1,13842,387,1281,256,23,9200
155,-41,1912,11,18.94,13785,383,1256,254,17,9294
156,-18,1894,11,18.94,13718,365,1257,249,18,9382
157,-49,1845,11,18.85,13658,352,1220,248,22,9489
158,-64,1781,11,18.94,13606,317,1203,239,20,9604
159,-41,1740,11,18.76,13551,297,1197,220,22,9702
160,2,1742,11,32.63,13455,322,1180,212,25,9795
161,-10,1732,12,32.63,13367,351,1138,214,25,9893
162,-52,1680,12,18.68,13326,337,1102,213,23,9987
